Ticker,Symbols,CSVSymbol,1 Year Returns,2 Year Returns,5 Year Returns,10 Year Returns,,,,Date Modified
RELIANCE,RELIANCE.NS,NSE:RELIANCE,-0.07511850569,0.1771290868,0.2513058091,5.667473379,,,,24/09/2025
HDFCBANK,HDFCBANK.NS,NSE:HDFCBANK,0.07943169349,0.2465708687,0.8280651341,2.647744648,,,,
AIRTELPP.E1,AIRTELPP.E1.NS,NSE:AIRTELPP.E1,0,0,0,0,,,,
BHARTIARTL,BHARTIARTL.NS,NSE:BHARTIARTL,0.1037486124,1.129723199,3.492874522,5.568311935,,,,
TCS,TCS.NS,NSE:TCS,-0.2973099525,-0.1609521546,0.2390703051,1.314377145,,,,
ICICIBANK,ICICIBANK.NS,NSE:ICICIBANK,0.045426968,0.4414178909,2.953821884,4.655848685,,,,
SBIN,SBIN.NS,NSE:SBIN,0.08587535233,0.4591364363,3.75740944,2.619962414,,,,
BAJFINANCE,BAJFINANCE.NS,NSE:BAJFINANCE,0.3534192899,0.3074335989,2.257088245,20.19842422,,,,
INFY,INFY.NS,NSE:INFY,-0.2119456442,0.01495777228,0.479262445,1.706682586,,,,
HINDUNILVR,HINDUNILVR.NS,NSE:HINDUNILVR,-0.1348392673,0.0310398449,0.2278203987,2.228609372,,,,
LICI,LICI.NS,NSE:LICI,-0.1296926668,0.3838243254,0.3838243254,0.3838243254,,,,
ITC,ITC.NS,NSE:ITC,-0.2233867055,-0.09591052869,1.343484627,0.8801390781,,,,
LT,LT.NS,NSE:LT,-0.03006646271,0.2670456503,3.135619904,2.857474013,,,,
MARUTI,MARUTI.NS,NSE:MARUTI,0.2664657027,0.5236773011,1.482878557,2.556461835,,,,
M&M,M&M.NS,NSE:M&M,0.15245747,1.22907295,4.981765997,4.800589391,,,,
KOTAKBANK,KOTAKBANK.NS,NSE:KOTAKBANK,0.05671906826,0.1338825375,0.6147001317,2.155981906,,,,
SUNPHARMA,SUNPHARMA.NS,NSE:SUNPHARMA,-0.1218350195,0.4594546506,2.350352292,0.9053426249,,,,
HCLTECH,HCLTECH.NS,NSE:HCLTECH,-0.1968911917,0.128655665,0.7228464419,2.000526039,,,,
ULTRACEMCO,ULTRACEMCO.NS,NSE:ULTRACEMCO,0.03599409947,0.4848529161,2.157962939,3.483405696,,,,
AXISBANK,AXISBANK.NS,NSE:AXISBANK,-0.05965874713,0.1439226655,1.808336345,1.300374975,,,,
