Ticker(Editable),Symbols,CSVSymbol,1 Year Returns,2 Year Returns,5 Year Returns,10 Year Returns,,,,Date Modified
NVDA,NVDA,NVDA,0.4641350211,3.191615348,12.75058275,304.1206897,,,,24/09/2025
MSFT,MSFT,MSFT,0.1886897966,0.6065692511,1.45476855,10.78447678,,,,
AAPL,AAPL,AAPL,0.1096890531,0.4329282144,1.247149982,7.975809321,,,,
GOOG,GOOG,GOOG,0.5144830115,0.8750851177,2.43017301,7.333221251,,,,
GOOGL,GOOGL,GOOGL,0.5228295027,0.8849820761,2.434885337,6.918615828,,,,
AMZN,AMZN,AMZN,0.1353371829,0.6775348518,0.4229128974,7.738492063,,,,
META,META,META,0.3502920136,1.528537712,1.985087513,7.526622576,,,,
AVGO,AVGO,AVGO,0.9406886296,3.068953112,8.509809417,27.06534326,,,,
TSLA,TSLA,TSLA,0.7414166044,0.7927446455,2.261084107,25.73852657,,,,
TSM,TSM,TSM,0.5426169149,2.254986085,2.558696755,13.30005094,,,,
BRK.B,BRK.B,BRK.B,0.09356300598,0.3742777363,1.362033737,2.864795522,,,,
BRK.A,BRK.A,BRK.A,0.08873497068,0.3578670946,1.362639455,2.851943819,,,,
ORCL,ORCL,ORCL,0.8604342581,1.848199446,4.15819398,7.703724605,,,,
JPM,JPM,JPM,0.4812609292,1.140116081,2.353161442,4.225408469,,,,
WMT,WMT,WMT,0.2734597744,0.8898086829,1.244973776,3.841187559,,,,
LLY,LLY,LLY,-0.1975054899,0.3432254794,3.937109011,8.303360923,,,,
V,V,V,0.2415866266,0.4513198492,0.717008872,4.039880952,,,,
NFLX,NFLX,NFLX,0.6669204995,2.128768191,1.493269549,11.10364934,,,,
MA,MA,MA,0.1670051907,0.4132276578,0.7144191934,5.438143746,,,,
XOM,XOM,XOM,-0.02127296027,-0.01436806332,2.307159353,0.5779614325,,,,
PLTR,PLTR,PLTR,3.866124661,11.62728551,11.62728551,11.62728551,,,,
JNJ,JNJ,JNJ,0.08545275832,0.1025209035,0.2130303446,0.9337857065,,,,
COST,COST,COST,0.04850588992,0.6921520891,1.759267908,5.584952978,,,,
HD,HD,HD,0.02273748315,0.3369767366,0.5258611059,2.591323401,,,,
ABBV,ABBV,ABBV,0.1368404734,0.4225024248,1.551200278,3.190285714,,,,
BABA,BABA,BABA,0.8154131083,1.022930521,-0.3491460401,2.074403206,,,,
BAC,BAC,BAC,0.3105196451,0.8731884058,1.200936569,2.341952165,,,,
ASML,ASML,ASML,0.1633169533,0.6155801614,1.626886374,10.39792971,,,,
PG,PG,PG,-0.120180097,0.01168193283,0.1075425084,1.123728577,,,,
GE,GE,GE,0.5833596963,2.363575269,8.852362205,1.476088391,,,,
CVX,CVX,CVX,0.07955239064,-0.0564874637,1.216065711,1.100831464,,,,
UNH,UNH,UNH,-0.3883586293,-0.3105549894,0.1630082645,2.121650399,,,,
SAP,SAP,SAP,0.1642056034,1.03751421,0.7680520847,3.24254379,,,,
KO,KO,KO,-0.06841441189,0.1657894737,0.3639162562,0.6810017708,,,,
WFC,WFC,WFC,0.5529911374,1.023820982,2.557952623,0.6698431606,,,,
TMUS,TMUS,TMUS,0.1834789515,0.7027355189,1.128191394,4.880611741,,,,
NVO,NVO,NVO,-0.5317283163,-0.3554263141,0.7011294526,1.151648352,,,,
CSCO,CSCO,CSCO,0.2817974105,0.2587883321,0.7508452536,1.623538581,,,,
TM,TM,TM,0.07933307906,0.07168361826,0.4897345266,0.7192327721,,,,
AMD,AMD,AMD,0.01616978272,0.652084617,1.060978734,95.91566265,,,,
MS,MS,MS,0.5390914408,0.9014813923,2.356292517,4.07816018,,,,
PM,PM,PM,0.3447735335,0.7392232181,1.161803714,1.065644405,,,,
IBM,IBM,IBM,0.2107073358,0.8263926816,1.354603063,0.9652538015,,,,
GS,GS,GS,0.5911609976,1.40977375,3.064785843,3.579990753,,,,
AZN,AZN,AZN,-0.01964355405,0.09312445605,0.3911759276,1.399235912,,,,
HSBC,HSBC,HSBC,0.5455550641,0.7729578894,2.859193816,0.8812920592,,,,
AXP,AXP,AXP,0.2789902708,1.222019187,2.537087056,3.642487047,,,,
ABT,ABT,ABT,0.1813128639,0.3736534318,0.2942484292,2.427803379,,,,
NVS,NVS,NVS,0.05651949837,0.2767282541,0.4921751789,0.6481307785,,,,
CRM,CRM,CRM,-0.09077799142,0.1916739362,0.01297684766,2.561558517,,,,
BX,BX,BX,0.1303078388,0.614505893,2.481524927,4.875288684,,,,
LIN,LIN,LIN,-0.01088974653,0.2590753379,1.03707841,3.780982152,,,,
CAT,CAT,CAT,0.2172932915,0.7128741751,2.219724488,6.364633955,,,,
APP,APP,APP,3.973039975,15.80418848,15.80418848,15.80418848,,,,
MCD,MCD,MCD,0.01352116429,0.1280673141,0.3948574571,2.171425594,,,,
RTX,RTX,RTX,0.3443852049,1.239833449,1.807096886,1.964364438,,,,
RY,RY,RY,0.1910076015,0.6457704771,1.085528179,1.772590361,,,,
T,T,T,0.3117183881,0.8804780876,0.3383742911,0.1765683423,,,,
SHEL,SHEL,SHEL,0.03904336551,0.1145108948,1.801864802,0.5722694572,,,,
UBER,UBER,UBER,0.2626549587,1.177243376,1.837492745,1.837492745,,,,
DIS,DIS,DIS,0.2106948447,0.4001975065,-0.08524193548,0.151690527,,,,
MRK,MRK,MRK,-0.3069763396,-0.2472600151,0.007460799191,0.7255793806,,,,
INTU,INTU,INTU,0.08867126293,0.3668627412,1.18144427,7.058339132,,,,
SHOP,SHOP,SHOP,0.8527324785,1.777715566,0.5488604433,43.96374622,,,,
PEP,PEP,PEP,-0.1633121469,-0.1844777147,0.06454511419,0.5374716124,,,,
NOW,NOW,NOW,0.01057817237,0.6682812612,0.9446423735,12.52122266,,,,
C,C,C,0.6563467492,1.478059483,1.419086149,1.073220477,,,,
MU,MU,MU,0.7203191489,1.357976086,2.290801791,10.50142248,,,,
BLK,BLK,BLK,0.1984105904,0.7154284845,1.059071576,2.835883833,,,,
QCOM,QCOM,QCOM,0.03953279425,0.5715838087,0.515720524,2.303197564,,,,
VZ,VZ,VZ,-0.03313927452,0.3021712907,-0.2729415727,-0.01280292638,,,,
SONY,SONY,SONY,0.535321821,0.7621621622,0.8990291262,5.0997921,,,,
MUFG,MUFG,MUFG,0.5386100386,0.8449074074,2.804295943,1.639072848,,,,
ANET,ANET,ANET,0.4816661473,2.148785872,10.37480064,35.66838046,,,,
PDD,PDD,PDD,0.1507908612,0.3544316889,0.7618727297,0.7618727297,,,,
BKNG,BKNG,BKNG,0.3226859698,0.783654141,2.333152367,3.607969044,,,,
TMO,TMO,TMO,-0.2351441459,-0.07447692125,0.1082431504,2.961737069,,,,
GEV,GEV,GEV,1.461914827,1.461914827,1.461914827,1.461914827,,,,
SCHW,SCHW,SCHW,0.4303189842,0.6688346883,1.643674871,2.385997067,,,,
HDB,HDB,HDB,0.04297820823,0.1753069577,0.4169407895,1.370013755,,,,
LRCX,LRCX,LRCX,0.6220452534,1.067676442,2.884953073,19.76375405,,,,
TXN,TXN,TXN,-0.1000292769,0.146302051,0.3334297282,2.928434505,,,,
BA,BA,BA,0.3805275656,0.08210081497,0.3785810421,0.6787637556,,,,
ISRG,ISRG,ISRG,-0.08342279108,0.5140323956,0.9769792502,7.621165049,,,,
AMAT,AMAT,AMAT,0.02368126842,0.4747785343,2.459385197,13.01809325,,,,
TJX,TJX,TJX,0.1937101572,0.5912077952,1.640842422,3.064833575,,,,
AMGN,AMGN,AMGN,-0.1562311133,0.0463164206,0.0463164206,1.111464005,,,,
ADBE,ADBE,ADBE,-0.3259106608,-0.3094800625,-0.2636833549,3.387357178,,,,
APH,APH,APH,0.8613756614,1.957722796,3.660484481,8.953920776,,,,
ARM,ARM,ARM,0.006978367062,1.650624541,1.650624541,1.650624541,,,,
SPGI,SPGI,SPGI,-0.05282661983,0.3211112906,0.3907892872,4.737635917,,,,
SAN,SAN,SAN,1.029585799,1.834710744,4.88,1.091463415,,,,
NEE,NEE,NEE,-0.124095385,0.09426411739,0.04782855521,2.027060271,,,,
UL,UL,UL,-0.07225567392,0.207839196,-0.01200263071,0.527064803,,,,
ACN,ACN,ACN,-0.296036747,-0.245780624,0.1139169734,1.491714435,,,,
SPOT,SPOT,SPOT,0.8631033757,3.556648663,2.00300873,2.00300873,,,,
LOW,LOW,LOW,-0.03273943768,0.2109647059,0.6128486368,2.832166791,,,,
BSX,BSX,BSX,0.1742306311,0.8226765799,1.62613819,5.175062972,,,,
ETN,ETN,ETN,0.1369009438,0.7239925892,2.723589436,6.436763237,,,,
SYK,SYK,SYK,0.02831024931,0.2917391607,0.8107409395,3.017532468,,,,
COF,COF,COF,0.522497455,1.291990192,2.234429066,2.108493834,,,,
GILD,GILD,GILD,0.3566058002,0.5190431645,0.8260240964,0.1990506329,,,,
KLAC,KLAC,KLAC,0.3872705559,1.346713806,4.687137459,21.03897711,,,,
PGR,PGR,PGR,-0.06447337647,0.6851565791,1.591792657,6.926023778,,,,
PFE,PFE,PFE,-0.1833898305,-0.2695573075,-0.2945827233,-0.175,,,,
INTC,INTC,INTC,0.3686979395,-0.08953047536,-0.3748498198,0.08553546592,,,,
TTE,TTE,TTE,-0.09041933605,-0.05620184318,0.9103975535,0.4527906977,,,,
PANW,PANW,PANW,0.1684909176,0.771872517,3.972745292,5.854508197,,,,
DHR,DHR,DHR,-0.3219912473,-0.167927315,0.01230601688,2.358200867,,,,
UNP,UNP,UNP,-0.07471079692,0.1049501151,0.162553621,1.711074497,,,,
TD,TD,TD,0.2248001254,0.2760084926,0.7055228116,1.045287958,,,,
UBS,UBS,UBS,0.3554177546,0.6369728025,2.951474786,1.30338325,,,,
BHP,BHP,BHP,-0.06713164778,-0.04668567356,0.1448748128,0.96763516,,,,
HON,HON,HON,0.01622253617,0.08725112061,0.2917208496,1.392476201,,,,
KKR,KKR,KKR,0.04192159529,1.170574351,3.0678266,7.349878935,,,,
DE,DE,DE,0.1412786877,0.2199588959,1.138836944,5.357646421,,,,
MELI,MELI,MELI,0.1894694458,0.9456889805,1.364378531,26.88417546,,,,
MDT,MDT,MDT,0.06662210339,0.1971989496,-0.07192710353,0.4838809671,,,,
CRWD,CRWD,CRWD,0.650828308,1.978551776,2.492411467,2.492411467,,,,
ADI,ADI,ADI,0.09360841068,0.4171464402,1.190782517,3.649523097,,,,
BN,BN,BN,0.3196969697,1.126984127,1.672803989,3.376884422,,,,
ADP,ADP,ADP,0.05371602082,0.2144821265,1.166641891,2.707707962,,,,
BTI,BTI,BTI,0.3748031496,0.6287313433,0.4529819695,-0.02367194781,,,,
CMCSA,CMCSA,CMCSA,-0.2355501814,-0.2955203922,-0.3150595883,0.1532287486,,,,
COP,COP,COP,-0.1219355431,-0.2101263732,1.83768546,1.085714286,,,,
BUD,BUD,BUD,-0.0729312763,0.0777173913,0.126277925,-0.4372871737,,,,
SNY,SNY,SNY,-0.1947240541,-0.146274149,-0.08625443088,-0.006423982869,,,,
RACE,RACE,RACE,0.005586592179,0.6681128736,1.651586207,1.651586207,,,,
SE,SE,SE,1.001292407,3.62238806,0.1965999098,0.1965999098,,,,
LMT,LMT,LMT,-0.1596529734,0.1776459191,0.2574347039,1.428578564,,,,
DASH,DASH,DASH,0.8403444382,2.454882735,2.454882735,2.454882735,,,,
IBN,IBN,IBN,-0.00896,0.3476936466,2.226041667,3.15704698,,,,
HOOD,HOOD,HOOD,4.568730786,12.09917355,12.09917355,12.09917355,,,,
IBKR,IBKR,IBKR,0.8942109903,1.93266606,4.430497051,5.756813417,,,,
CB,CB,CB,-0.03968801767,0.3111247232,1.444093105,1.75777998,,,,
SMFG,SMFG,SMFG,0.3249804229,0.6719367589,1.892307692,1.241059603,,,,
MO,MO,MO,0.2723188123,0.5473984319,0.7018552391,0.1922020868,,,,
BBVA,BBVA,BBVA,0.7720588235,1.459183673,6.194029851,1.351219512,,,,
ENB,ENB,ENB,0.2232011747,0.450377249,0.6665555185,0.341024953,,,,
RIO,RIO,RIO,-0.05265499852,0.01268431901,0.05815109344,0.992202121,,,,
CEG,CEG,CEG,0.3378437019,2.022279654,2.022279654,2.022279654,,,,
NKE,NKE,NKE,-0.1856848845,-0.2139072848,-0.4267085245,0.1662027182,,,,
SO,SO,SO,0.05215646941,0.3625342762,0.7545065973,1.141301883,,,,
CDNS,CDNS,CDNS,0.3060149276,0.5436108108,2.441573467,16.4296875,,,,
BAM,BAM,BAM,0.2518000847,0.7369967676,0.7369967676,0.7369967676,,,,
SBUX,SBUX,SBUX,-0.1077818952,-0.09133060168,-0.0003558718861,0.5110274341,,,,
VRTX,VRTX,VRTX,-0.1865483056,0.07400119771,0.4043552838,2.823553299,,,,
MMC,MMC,MMC,-0.1056262319,0.02180143296,0.7675283286,2.873884362,,,,
CVS,CVS,CVS,0.3150826446,0.05250103348,0.3325191905,-0.207265179,,,,
PH,PH,PH,0.1973071941,0.9124926566,2.744174417,6.892484452,,,,
ICE,ICE,ICE,0.05858267717,0.5392013189,0.671141607,2.685307018,,,,
HCA,HCA,HCA,0.0368840219,0.6368851171,2.455993364,4.627718493,,,,
DUK,DUK,DUK,0.06604586998,0.3250455471,0.4992118346,0.7550035486,,,,
CME,CME,CME,0.2120920425,0.3165546428,0.5855018587,1.921232877,,,,
BMO,BMO,BMO,0.4240843507,0.4926710098,1.201990733,1.463236706,,,,
NEM,NEM,NEM,0.4945389436,1.062005929,0.3590035819,4.210362047,,,,
MSTR,MSTR,MSTR,1.101052768,8.869047619,21.12936345,15.55453149,,,,
NTES,NTES,NTES,0.7261439411,0.489188653,0.5899608175,5.564932226,,,,
MCK,MCK,MCK,0.5829257633,0.7037319117,4.121405966,3.12775426,,,,
RBLX,RBLX,RBLX,1.825939291,4.092960979,4.092960979,4.092960979,,,,
BMY,BMY,BMY,-0.1330977621,-0.2535496957,-0.2576903681,-0.2314653672,,,,
SNPS,SNPS,SNPS,-0.0764358858,0.04524038139,1.245035971,9.120864865,,,,
DELL,DELL,DELL,0.1259909641,0.8861916322,2.972631579,2.972631579,,,,
TT,TT,TT,0.05300325733,1.00869911,2.398284417,9.219777441,,,,
RCL,RCL,RCL,0.8205756277,2.594921403,4.063167673,2.744332494,,,,
SCCO,SCCO,SCCO,0.08646240567,0.6849971799,1.822390175,3.849837662,,,,
BP,BP,BP,0.07249466951,-0.09135483871,0.9714445689,0.1984343091,,,,
ORLY,ORLY,ORLY,0.3744686504,0.6624357326,2.489713322,5.312995729,,,,
WM,WM,WM,0.05734387047,0.3961567829,0.9310041362,3.407794295,,,,
GD,GD,GD,0.06219844422,0.4754935485,1.341509297,1.395233513,,,,
SHW,SHW,SHW,-0.101163644,0.3385894384,0.4752236752,3.664853101,,,,
MCO,MCO,MCO,-0.009554007259,0.4708342369,0.6927519698,3.900402518,,,,
RELX,RELX,RELX,-0.04450855141,0.364224772,1.083108715,1.755199049,,,,
APO,APO,APO,0.09614001439,0.4831314879,2.067084079,6.914598961,,,,
MMM,MMM,MMM,0.1266579216,0.9507886435,0.1537313433,0.3362143475,,,,
MFG,MFG,MFG,0.6520681265,0.9019607843,1.552631579,0.7962962963,,,,
NOC,NOC,NOC,0.1064620843,0.3776112038,0.7874085366,2.604488165,,,,
MDLZ,MDLZ,MDLZ,-0.1317421791,-0.07631616698,0.146545584,0.5526886906,,,,
COIN,COIN,COIN,0.8742427773,3.484599303,3.484599303,3.484599303,,,,
GSK,GSK,GSK,-0.01952171791,0.06549986741,0.04417879418,0.0501829587,,,,
AEM,AEM,AEM,0.8801190476,2.250926307,1.021115946,5.386170643,,,,
CVNA,CVNA,CVNA,1.17029531,8.312049689,0.8439929155,0.8439929155,,,,
CTAS,CTAS,CTAS,-0.02348059556,0.5828453869,1.445775767,8.330223881,,,,
PNC,PNC,PNC,0.1054056982,0.6643288207,0.945471878,1.336348025,,,,
BNS,BNS,BNS,0.1811981567,0.3786574871,0.5748341116,0.4961475601,,,,
PBR,PBR,PBR,-0.09427609428,-0.1057180851,0.8029490617,2.615591398,,,,
PBR.A,PBR.A,PBR.A,-0.09117865085,-0.1096586783,0.6817558299,2.916932907,,,,
MSI,MSI,MSI,0.01110790216,0.6450878334,1.95538961,5.699985279,,,,
AJG,AJG,AJG,0.0902874736,0.3056806002,1.95765757,6.402771026,,,,
HWM,HWM,HWM,0.9152235199,3.108423326,10.41091782,10.41091782,,,,
NU,NU,NU,0.08175675676,1.306916427,1.306916427,1.306916427,,,,
NET,NET,NET,1.544678363,2.767445887,4.433816184,4.433816184,,,,
CI,CI,CI,-0.1748166605,-0.009886525787,0.7939673746,1.191203008,,,,
USB,USB,USB,0.07756354075,0.464126228,0.3987485779,0.2167243939,,,,
CRH,CRH,CRH,0.2307355995,0.9982253771,2.122573489,3.24425179,,,,
ABNB,ABNB,ABNB,-0.06388804381,-0.08245117042,-0.08245117042,-0.08245117042,,,,
BK,BK,BK,0.5052910053,1.52063418,2.236826347,1.830104712,,,,
ITW,ITW,ITW,0.004022899582,0.107007293,0.3474536677,2.222746461,,,,
AON,AON,AON,0.0181619319,0.05427234524,0.8014870646,3.001131094,,,,
CM,CM,CM,0.3088402271,1.009213147,1.165012074,1.337485516,,,,
ING,ING,ING,0.394907909,0.962652439,2.726483357,0.8618944324,,,,
SNOW,SNOW,SNOW,0.9784,0.4863763857,-0.02807860262,-0.02807860262,,,,
ECL,ECL,ECL,0.05010619051,0.550792821,0.362036423,1.487886694,,,,
WMB,WMB,WMB,0.3656311101,0.8510011779,2.146146146,0.7193654267,,,,
EMR,EMR,EMR,0.2405491819,0.3447502548,1.050676201,2.065055762,,,,
TDG,TDG,TDG,-0.08508691674,0.5272376969,1.627430373,4.940413087,,,,
ITUB,ITUB,ITUB,0.225210084,0.4847250509,1.374592834,1.540069686,,,,
ELV,ELV,ELV,-0.38109415,-0.2811646551,0.2786679726,1.394395129,,,,
BCS,BCS,BCS,0.6955810147,1.719160105,3.408510638,0.4037940379,,,,
TRI,TRI,TRI,-0.08398675727,0.2530589544,0.9334314086,2.53927289,,,,
